Cyanin1_1;
Wavelength (nm);Abs
442.9767456;0.029709438
442.055542;0.028076218
440.9805908;0.026461884
440.0590515;0.02539289
438.9837341;0.024020934
438.0618591;0.022843838
436.986145;0.021710821
436.0639343;0.020956399
434.987854;0.020025397
434.0653076;0.019348156
432.9888611;0.01857556
432.065979;0.017742502
430.9891357;0.016773853
430.0659485;0.016104614
428.988739;0.015440859
428.0652161;0.014503472
426.9876099;0.013582715
426.0638123;0.012730407
424.9858093;0.012017146
424.061676;0.011293576
422.9833374;0.010390992
422.0588684;0.009622774
420.9801331;0.008815283
420.0553589;0.008274841
418.9762878;0.007604232
418.051178;0.007241032
416.9717407;0.006693449
416.0463257;0.006175253
414.9665222;0.005704097
414.040802;0.005399537
412.9606018;0.005152082
412.0345764;0.004584234
410.9540405;0.004427298
410.02771;0.004166858
408.9467773;0.00383919
408.0201416;0.00379772
406.9388733;0.003467851
406.0119324;0.003204986
404.9302979;0.003082673
404.0030518;0.003031604
403.0756531;0.002890264
401.9935303;0.00278203
401.0658264;0.002652907
399.9833374;0.002566344
399.0553284;0.002491956
397.9725037;0.002618973
397.04422;0.00240735
395.9610291;0.002602644
395.0324402;0.00258741
393.9488831;0.002696612
393.019989;0.002898343
391.9361267;0.002878694
391.0069275;0.003015287
389.9227295;0.003116853
388.9932251;0.003426156
388.0636292;0.003302945
386.9789124;0.003406223
386.0490112;0.003530558
384.9639282;0.003637309
384.0337524;0.003864418
382.9483643;0.003770667
382.0178833;0.003904301
380.9321289;0.004289398
380.0013733;0.004214323
379.0704651;0.004568878
377.9842529;0.004887803
377.0530701;0.005100219
375.9665222;0.005558318
375.0350647;0.00603916
373.9481812;0.00678502
373.016449;0.007251665
371.9292297;0.008044254
370.9971924;0.008597663
370.065033;0.009332408
368.977356;0.010259164
368.0449219;0.010897417
366.9569397;0.01111428
366.024231;0.011785973
364.9359131;0.01229014
364.0029297;0.012504636
363.0697937;0.012712068
361.9810181;0.013213202
361.0476379;0.012903332
359.9585266;0.012915866
359.0248718;0.01306112
357.9354553;0.013053758
357.0015259;0.013374386
356.0675049;0.013672492
354.9776001;0.014423051
354.0433044;0.015007081
352.953125;0.016280098
352.0185242;0.01683313
350.9280396;0.017986499
349.9931946;0.018975573
